state,district,typology
Arunachal Pradesh,Upper Subansiri,Digitally Strong & Balanced
Arunachal Pradesh,West Kameng,Digitally Strong & Balanced
Arunachal Pradesh,West Siang,Digitally Strong & Balanced
Assam,Bajali,Digitally Weak but Stable
Assam,Baksa,Digitally Strong & Balanced
Assam,Barpeta,Digitally Strong & Balanced
Assam,Biswanath,Digitally Strong & Balanced
Assam,Bongaigaon,Digitally Strong & Balanced
Assam,Cachar,Digitally Strong & Balanced
Assam,Charaideo,Digitally Strong & Balanced
Assam,Chirang,Digitally Strong & Balanced
Assam,Darrang,Digitally Strong & Balanced
Assam,Dhemaji,Digitally Strong & Balanced
Assam,Dhubri,Digitally Strong & Balanced
Assam,Dibrugarh,Digitally Strong & Balanced
Assam,Dima Hasao,Digitally Weak but Stable
Assam,Goalpara,Digitally Strong & Balanced
Assam,Golaghat,Digitally Strong & Balanced
Assam,Hailakandi,Digitally Strong & Balanced
Assam,Hojai,Digitally Strong & Balanced
Assam,Jorhat,Digitally Strong & Balanced
Assam,Kamrup,Digitally Strong & Balanced
Assam,Kamrup Metro,Digitally Strong & Balanced
Assam,Karbi Anglong,Digitally Strong & Balanced
Assam,Karimganj,Digitally Strong & Balanced
Assam,Kokrajhar,Digitally Strong & Balanced
Assam,Lakhimpur,Digitally Strong & Balanced
Assam,Majuli,Digitally Strong & Balanced
Assam,Marigaon,Digitally Strong & Balanced
Assam,Nagaon,Digitally Strong & Balanced
Assam,Nalbari,Digitally Strong & Balanced
Assam,North Cachar Hills,Digitally Strong & Balanced
Assam,Sibsagar,Digitally Strong & Balanced
Assam,Sonitpur,Digitally Strong & Balanced
Assam,South Salmara Mankachar,Digitally Strong & Balanced
Assam,Sribhumi,Digitally Weak but Stable
Assam,Tamulpur District,Digitally Weak but Stable
Assam,Tinsukia,Digitally Strong & Balanced
Assam,Udalguri,Digitally Strong & Balanced
Assam,West Karbi Anglong,Digitally Strong & Balanced
Bihar,Araria,Digitally Strong & Balanced
Bihar,Arwal,Digitally Strong & Balanced
Bihar,Aurangabad,Digitally Strong & Balanced
Bihar,Aurangabad(BH),Digitally Weak but Stable
Bihar,Aurangabad(bh),Digitally Weak but Stable
Bihar,Banka,Digitally Strong & Balanced
Bihar,Begusarai,Digitally Strong & Balanced
Bihar,Bhabua,Digitally Weak but Stable
Bihar,Bhagalpur,Digitally Strong & Balanced
Bihar,Bhojpur,Digitally Strong & Balanced
Bihar,Buxar,Digitally Strong & Balanced
Bihar,Darbhanga,Digitally Strong & Balanced
Bihar,East Champaran,Digitally Strong & Balanced
Bihar,Gaya,Digitally Strong & Balanced
Bihar,Gopalganj,Digitally Strong & Balanced
Bihar,Jamui,Digitally Strong & Balanced
Bihar,Jehanabad,Digitally Strong & Balanced
Bihar,Kaimur (Bhabua),Digitally Strong & Balanced
Bihar,Katihar,Digitally Strong & Balanced
Bihar,Khagaria,Digitally Strong & Balanced
Bihar,Kishanganj,Digitally Strong & Balanced
Bihar,Lakhisarai,Digitally Strong & Balanced
Bihar,Madhepura,Digitally Strong & Balanced
Bihar,Madhubani,Digitally Strong & Balanced
Bihar,Monghyr,Digitally Weak but Stable
Bihar,Munger,Digitally Strong & Balanced
Bihar,Muzaffarpur,Digitally Strong & Balanced
Bihar,Nalanda,Digitally Strong & Balanced
Bihar,Nawada,Digitally Strong & Balanced
Bihar,Pashchim Champaran,Digitally Strong & Balanced
Bihar,Patna,Digitally Strong & Balanced
Bihar,Purba Champaran,Digitally Weak but Stable
Bihar,Purnea,Digitally Strong & Balanced
Bihar,Purnia,Digitally Strong & Balanced
Bihar,Rohtas,Digitally Strong & Balanced
Bihar,Saharsa,Digitally Strong & Balanced
Bihar,Samastipur,Digitally Strong & Balanced
Bihar,Samstipur,Digitally Weak but Stable
Bihar,Saran,Digitally Strong & Balanced
Bihar,Sheikhpura,Digitally Strong & Balanced
Bihar,Sheikpura,Digitally Weak but Stable
Bihar,Sheohar,Digitally Strong & Balanced
Bihar,Sitamarhi,Digitally Strong & Balanced
Bihar,Siwan,Digitally Strong & Balanced
Bihar,Supaul,Digitally Strong & Balanced
Bihar,Vaishali,Digitally Strong & Balanced
Bihar,West Champaran,Digitally Strong & Balanced
Chandigarh,Chandigarh,Digitally Strong but Overburdened
Chandigarh,Mohali,Digitally Weak but Stable
Chandigarh,Rupnagar,Digitally Weak but Stable
Chhattisgarh,Balod,Digitally Strong & Balanced
Chhattisgarh,Baloda Bazar,Digitally Strong & Balanced
Chhattisgarh,Balrampur,Digitally Strong & Balanced
Chhattisgarh,Bastar,Digitally Strong & Balanced
Chhattisgarh,Bemetara,Digitally Strong & Balanced
Chhattisgarh,Bijapur,Digitally Strong & Balanced
Chhattisgarh,Bilaspur,Digitally Strong & Balanced
Chhattisgarh,Dakshin Bastar Dantewada,Digitally Strong & Balanced
Chhattisgarh,Dantewada,Digitally Strong & Balanced
Chhattisgarh,Dhamtari,Digitally Strong & Balanced
Chhattisgarh,Durg,Digitally Strong & Balanced
Chhattisgarh,Gariyaband,Digitally Strong & Balanced
Chhattisgarh,Gaurela-pendra-marwahi,Digitally Strong & Balanced
Chhattisgarh,Janjgir - Champa,Digitally Weak but Stable
Chhattisgarh,Janjgir Champa,Digitally Weak but Stable
Chhattisgarh,Janjgir-champa,Digitally Strong & Balanced
Chhattisgarh,Jashpur,Digitally Strong & Balanced
Chhattisgarh,Kabeerdham,Digitally Strong & Balanced
Chhattisgarh,Kanker,Digitally Strong & Balanced
Chhattisgarh,Kawardha,Digitally Strong & Balanced
Chhattisgarh,Khairagarh Chhuikhadan Gandai,Digitally Strong but Overburdened
Chhattisgarh,Kondagaon,Digitally Strong & Balanced
Chhattisgarh,Korba,Digitally Strong & Balanced
Chhattisgarh,Koriya,Digitally Strong & Balanced
Chhattisgarh,Mahasamund,Digitally Strong & Balanced
Chhattisgarh,ManendragarhChirmiriBharatpur,Digitally Weak but Stable
Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,Digitally Weak but Stable
Chhattisgarh,Mohalla-Manpur-Ambagarh Chowki,Digitally Underserved
Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,Digitally Strong & Balanced
Chhattisgarh,Mungeli,Digitally Strong & Balanced
Chhattisgarh,Narayanpur,Digitally Strong & Balanced
Chhattisgarh,Raigarh,Digitally Strong & Balanced
Chhattisgarh,Raipur,Digitally Strong & Balanced
Chhattisgarh,Rajnandgaon,Digitally Strong & Balanced
Chhattisgarh,Sakti,Digitally Strong & Balanced
Chhattisgarh,Sarangarh-Bilaigarh,Digitally Weak but Stable
Chhattisgarh,Sukma,Digitally Strong & Balanced
Chhattisgarh,Surajpur,Digitally Strong & Balanced
Chhattisgarh,Surguja,Digitally Strong & Balanced
Chhattisgarh,Uttar Bastar Kanker,Digitally Strong & Balanced
Dadra & Nagar Haveli and Daman & Diu,Dadra & Nagar Haveli,Digitally Strong & Balanced
Dadra & Nagar Haveli and Daman & Diu,Dadra and Nagar Haveli,Digitally Strong & Balanced
Dadra & Nagar Haveli and Daman & Diu,Daman,Digitally Strong & Balanced
Dadra & Nagar Haveli and Daman & Diu,Diu,Digitally Strong & Balanced
Delhi,Central Delhi,Digitally Strong & Balanced
Delhi,East Delhi,Digitally Strong & Balanced
Delhi,Najafgarh,Digitally Underserved
Delhi,New Delhi,Digitally Strong & Balanced
Delhi,North Delhi,Digitally Strong & Balanced
Delhi,North East,Digitally Underserved
Delhi,North East Delhi,Digitally Strong & Balanced
Delhi,North West Delhi,Digitally Strong but Overburdened
Delhi,Shahdara,Digitally Strong & Balanced
Delhi,South Delhi,Digitally Strong but Overburdened
Delhi,South East Delhi,Digitally Strong & Balanced
Delhi,South West Delhi,Digitally Strong & Balanced
Delhi,West Delhi,Digitally Strong & Balanced
Goa,Bardez,Digitally Weak but Stable
Goa,North Goa,Digitally Strong & Balanced
Goa,South Goa,Digitally Strong & Balanced
Goa,Tiswadi,Digitally Weak but Stable
Gujarat,Ahmadabad,Digitally Underserved
Gujarat,Ahmedabad,Digitally Strong but Overburdened
Gujarat,Amreli,Digitally Strong & Balanced
Gujarat,Anand,Digitally Strong & Balanced
Gujarat,Arvalli,Digitally Strong & Balanced
Gujarat,Banas Kantha,Digitally Underserved
Gujarat,Banaskantha,Digitally Strong & Balanced
Gujarat,Bharuch,Digitally Strong & Balanced
Gujarat,Bhavnagar,Digitally Strong & Balanced
Gujarat,Botad,Digitally Strong & Balanced
Gujarat,Chhotaudepur,Digitally Strong & Balanced
Gujarat,Dahod,Digitally Strong & Balanced
Gujarat,Devbhumi Dwarka,Digitally Strong & Balanced
Gujarat,Dohad,Digitally Strong & Balanced
Gujarat,Gandhinagar,Digitally Strong & Balanced
Gujarat,Gir Somnath,Digitally Strong & Balanced
Gujarat,Jamnagar,Digitally Strong & Balanced
Gujarat,Junagadh,Digitally Strong & Balanced
Gujarat,Kachchh,Digitally Strong & Balanced
Gujarat,Kheda,Digitally Strong & Balanced
Gujarat,Mahesana,Digitally Strong & Balanced
Gujarat,Mahisagar,Digitally Strong & Balanced
Gujarat,Morbi,Digitally Strong & Balanced
Gujarat,Narmada,Digitally Strong & Balanced
Gujarat,Navsari,Digitally Strong & Balanced
Gujarat,Panch Mahals,Digitally Weak but Stable
Gujarat,Panchmahals,Digitally Strong & Balanced
Gujarat,Patan,Digitally Strong & Balanced
Gujarat,Porbandar,Digitally Strong & Balanced
Gujarat,Rajkot,Digitally Strong & Balanced
Gujarat,Sabar Kantha,Digitally Weak but Stable
Gujarat,Sabarkantha,Digitally Strong & Balanced
Gujarat,Surat,Digitally Strong & Balanced
Gujarat,Surendra Nagar,Digitally Strong & Balanced
Gujarat,Surendranagar,Digitally Weak but Stable
Gujarat,Tapi,Digitally Strong & Balanced
Gujarat,The Dangs,Digitally Strong & Balanced
Gujarat,Vadodara,Digitally Strong & Balanced
Gujarat,Valsad,Digitally Strong & Balanced
Haryana,Akhera,Digitally Weak but Stable
Haryana,Ambala,Digitally Strong & Balanced
Haryana,Bhiwani,Digitally Strong & Balanced
Haryana,Charkhi Dadri,Digitally Strong & Balanced
Haryana,Faridabad,Digitally Strong & Balanced
Haryana,Fatehabad,Digitally Strong & Balanced
Haryana,Gurgaon,Digitally Strong & Balanced
Haryana,Hisar,Digitally Strong & Balanced
Haryana,Jhajjar,Digitally Strong & Balanced
Haryana,Jind,Digitally Strong & Balanced
Haryana,Kaithal,Digitally Strong & Balanced
Haryana,Karnal,Digitally Strong & Balanced
Haryana,Kurukshetra,Digitally Strong & Balanced
Haryana,Mahendragarh,Digitally Strong & Balanced
Haryana,Mewat,Digitally Strong & Balanced
Haryana,Palwal,Digitally Strong & Balanced
Haryana,Panchkula,Digitally Strong & Balanced
Haryana,Panipat,Digitally Strong & Balanced
Haryana,Rewari,Digitally Strong & Balanced
Haryana,Rohtak,Digitally Strong & Balanced
Haryana,Sirsa,Digitally Strong & Balanced
Haryana,Sonipat,Digitally Strong & Balanced
Haryana,Yamuna Nagar,Digitally Strong & Balanced
Haryana,Yamunanagar,Digitally Strong & Balanced
Himachal Pradesh,Bilaspur,Digitally Strong & Balanced
Himachal Pradesh,Chamba,Digitally Strong & Balanced
Himachal Pradesh,Hamirpur,Digitally Strong & Balanced
Himachal Pradesh,Kangra,Digitally Strong & Balanced
Himachal Pradesh,Kinnaur,Digitally Strong & Balanced
Himachal Pradesh,Kullu,Digitally Strong & Balanced
Himachal Pradesh,Lahaul and Spiti,Digitally Weak but Stable
Himachal Pradesh,Lahul & Spiti,Digitally Strong & Balanced
Himachal Pradesh,Lahul and Spiti,Digitally Strong & Balanced
Himachal Pradesh,Mandi,Digitally Strong & Balanced
Himachal Pradesh,Shimla,Digitally Strong & Balanced
Himachal Pradesh,Sirmaur,Digitally Strong & Balanced
Himachal Pradesh,Solan,Digitally Strong & Balanced
Himachal Pradesh,Una,Digitally Strong & Balanced
Jammu & Kashmir,?,Digitally Weak but Stable
Jammu & Kashmir,Anantnag,Digitally Strong & Balanced
Jammu & Kashmir,Badgam,Digitally Strong & Balanced
Jammu & Kashmir,Bandipore,Digitally Strong & Balanced
Jammu & Kashmir,Bandipur,Digitally Weak but Stable
Jammu & Kashmir,Baramula,Digitally Strong & Balanced
Jammu & Kashmir,Budgam,Digitally Strong & Balanced
Jammu & Kashmir,Doda,Digitally Strong & Balanced
Jammu & Kashmir,Ganderbal,Digitally Strong & Balanced
Jammu & Kashmir,Jammu,Digitally Strong & Balanced
Jammu & Kashmir,Kargil,Digitally Strong & Balanced
Jammu & Kashmir,Kathua,Digitally Strong & Balanced
Jammu & Kashmir,Kishtwar,Digitally Strong & Balanced
Jammu & Kashmir,Kulgam,Digitally Strong & Balanced
Jammu & Kashmir,Kupwara,Digitally Strong & Balanced
Jammu & Kashmir,Leh,Digitally Strong & Balanced
Jammu & Kashmir,Leh (ladakh),Digitally Weak but Stable
Jammu & Kashmir,Poonch,Digitally Weak but Stable
Jammu & Kashmir,Pulwama,Digitally Strong & Balanced
Jammu & Kashmir,Punch,Digitally Strong & Balanced
Jammu & Kashmir,Rajauri,Digitally Weak but Stable
Jammu & Kashmir,Rajouri,Digitally Strong & Balanced
Jammu & Kashmir,Ramban,Digitally Strong & Balanced
Jammu & Kashmir,Reasi,Digitally Strong & Balanced
Jammu & Kashmir,Samba,Digitally Strong & Balanced
Jammu & Kashmir,Shupiyan,Digitally Strong & Balanced
Jammu & Kashmir,Srinagar,Digitally Strong & Balanced
Jammu & Kashmir,Udhampur,Digitally Strong & Balanced
Jammu & Kashmir,udhampur,Digitally Weak but Stable
Jharkhand,Bokaro,Digitally Strong & Balanced
Jharkhand,Bokaro *,Digitally Weak but Stable
Jharkhand,Chatra,Digitally Strong & Balanced
Jharkhand,Deoghar,Digitally Strong & Balanced
Jharkhand,Dhanbad,Digitally Strong & Balanced
Jharkhand,Dumka,Digitally Strong & Balanced
Jharkhand,East Singhbhum,Digitally Strong & Balanced
Jharkhand,Garhwa,Digitally Strong & Balanced
Jharkhand,Garhwa *,Digitally Underserved
Jharkhand,Giridih,Digitally Strong & Balanced
Jharkhand,Godda,Digitally Strong & Balanced
Jharkhand,Gumla,Digitally Strong & Balanced
Jharkhand,Hazaribag,Digitally Strong & Balanced
Jharkhand,Hazaribagh,Digitally Strong & Balanced
Jharkhand,Jamtara,Digitally Strong & Balanced
Jharkhand,Khunti,Digitally Strong & Balanced
Jharkhand,Kodarma,Digitally Strong & Balanced
Jharkhand,Koderma,Digitally Strong & Balanced
Jharkhand,Latehar,Digitally Strong & Balanced
Jharkhand,Lohardaga,Digitally Strong & Balanced
Jharkhand,Pakaur,Digitally Strong & Balanced
Jharkhand,Pakur,Digitally Strong & Balanced
Jharkhand,Palamau,Digitally Strong & Balanced
Jharkhand,Palamu,Digitally Strong & Balanced
Jharkhand,Pashchimi Singhbhum,Digitally Strong & Balanced
Jharkhand,Purbi Singhbhum,Digitally Strong & Balanced
Jharkhand,Ramgarh,Digitally Strong & Balanced
Jharkhand,Ranchi,Digitally Strong & Balanced
Jharkhand,Sahebganj,Digitally Strong & Balanced
Jharkhand,Sahibganj,Digitally Strong & Balanced
Jharkhand,Seraikela-Kharsawan,Digitally Strong & Balanced
Jharkhand,Seraikela-kharsawan,Digitally Strong & Balanced
Jharkhand,Simdega,Digitally Strong & Balanced
Jharkhand,West Singhbhum,Digitally Strong & Balanced
Karnataka,Bagalkot,Digitally Strong & Balanced
Karnataka,Bagalkot *,Digitally Strong & Balanced
Karnataka,Ballari,Digitally Strong & Balanced
Karnataka,Bangalore,Digitally Strong & Balanced
Karnataka,Bangalore Rural,Digitally Strong & Balanced
Karnataka,Belagavi,Digitally Strong & Balanced
Karnataka,Belgaum,Digitally Strong & Balanced
Karnataka,Bellary,Digitally Strong & Balanced
Karnataka,Bengaluru,Digitally Strong & Balanced
Karnataka,Bengaluru Rural,Digitally Weak but Stable
Karnataka,Bengaluru South,Digitally Weak but Stable
Karnataka,Bidar,Digitally Strong & Balanced
Karnataka,Bijapur,Digitally Strong & Balanced
Karnataka,Bijapur(KAR),Digitally Weak but Stable
Karnataka,Chamarajanagar,Digitally Strong & Balanced
Karnataka,Chamarajanagar *,Digitally Weak but Stable
Karnataka,Chamrajanagar,Digitally Strong & Balanced
Karnataka,Chamrajnagar,Digitally Strong & Balanced
Karnataka,Chickmagalur,Digitally Strong & Balanced
Karnataka,Chikkaballapur,Digitally Strong & Balanced
Karnataka,Chikkamagaluru,Digitally Strong & Balanced
Karnataka,Chikmagalur,Digitally Strong & Balanced
Karnataka,Chitradurga,Digitally Strong & Balanced
Karnataka,Dakshina Kannada,Digitally Strong & Balanced
Karnataka,Davanagere,Digitally Strong & Balanced
Karnataka,Davangere,Digitally Strong & Balanced
Karnataka,Dharwad,Digitally Strong & Balanced
Karnataka,Gadag,Digitally Strong & Balanced
Karnataka,Gadag *,Digitally Strong & Balanced
Karnataka,Gulbarga,Digitally Strong & Balanced
Karnataka,Hasan,Digitally Strong & Balanced
Karnataka,Hassan,Digitally Strong & Balanced
Karnataka,Haveri,Digitally Strong & Balanced
Karnataka,Haveri *,Digitally Strong & Balanced
Karnataka,Kalaburagi,Digitally Strong & Balanced
Karnataka,Kodagu,Digitally Strong & Balanced
Karnataka,Kolar,Digitally Strong & Balanced
Karnataka,Koppal,Digitally Strong & Balanced
Karnataka,Mandya,Digitally Strong & Balanced
Karnataka,Mysore,Digitally Strong & Balanced
Karnataka,Mysuru,Digitally Strong & Balanced
Karnataka,Raichur,Digitally Strong & Balanced
Karnataka,Ramanagar,Digitally Strong & Balanced
Karnataka,Shimoga,Digitally Strong & Balanced
Karnataka,Shivamogga,Digitally Strong & Balanced
Karnataka,Tumakuru,Digitally Strong & Balanced
Karnataka,Tumkur,Digitally Strong & Balanced
Karnataka,Udupi,Digitally Strong & Balanced
Karnataka,Udupi *,Digitally Weak but Stable
Karnataka,Uttara Kannada,Digitally Strong & Balanced
Karnataka,Vijayanagara,Digitally Strong & Balanced
Karnataka,Vijayapura,Digitally Strong & Balanced
Karnataka,Yadgir,Digitally Strong & Balanced
Karnataka,yadgir,Digitally Strong & Balanced
Kerala,Alappuzha,Digitally Strong & Balanced
Kerala,Ernakulam,Digitally Strong & Balanced
Kerala,Idukki,Digitally Strong & Balanced
Kerala,Kannur,Digitally Strong & Balanced
Kerala,Kasaragod,Digitally Strong & Balanced
Kerala,Kasargod,Digitally Underserved
Kerala,Kollam,Digitally Strong & Balanced
Kerala,Kottayam,Digitally Strong & Balanced
Kerala,Kozhikode,Digitally Strong & Balanced
Kerala,Malappuram,Digitally Strong & Balanced
Kerala,Palakkad,Digitally Strong & Balanced
Kerala,Pathanamthitta,Digitally Strong & Balanced
Kerala,Thiruvananthapuram,Digitally Strong & Balanced
Kerala,Thrissur,Digitally Strong & Balanced
Kerala,Wayanad,Digitally Strong & Balanced
Ladakh,Kargil,Digitally Strong & Balanced
Ladakh,Leh,Digitally Strong & Balanced
Lakshadweep,Lakshadweep,Digitally Strong & Balanced
Madhya Pradesh,Agar Malwa,Digitally Strong & Balanced
Madhya Pradesh,Alirajpur,Digitally Strong & Balanced
Madhya Pradesh,Anuppur,Digitally Strong & Balanced
Madhya Pradesh,Ashok Nagar,Digitally Strong & Balanced
Madhya Pradesh,Balaghat,Digitally Strong & Balanced
Madhya Pradesh,Barwani,Digitally Strong & Balanced
Madhya Pradesh,Betul,Digitally Strong & Balanced
Madhya Pradesh,Bhind,Digitally Strong & Balanced
Madhya Pradesh,Bhopal,Digitally Strong & Balanced
Madhya Pradesh,Burhanpur,Digitally Strong & Balanced
Madhya Pradesh,Chhatarpur,Digitally Strong & Balanced
Madhya Pradesh,Chhindwara,Digitally Strong & Balanced
Madhya Pradesh,Damoh,Digitally Strong & Balanced
Madhya Pradesh,Datia,Digitally Strong & Balanced
Madhya Pradesh,Dewas,Digitally Strong & Balanced
Madhya Pradesh,Dhar,Digitally Strong & Balanced
Madhya Pradesh,Dindori,Digitally Strong & Balanced
Madhya Pradesh,East Nimar,Digitally Strong & Balanced
Madhya Pradesh,Guna,Digitally Strong & Balanced
Madhya Pradesh,Gwalior,Digitally Strong & Balanced
Madhya Pradesh,Harda,Digitally Strong & Balanced
Madhya Pradesh,Harda *,Digitally Strong & Balanced
Madhya Pradesh,Hoshangabad,Digitally Strong & Balanced
Madhya Pradesh,Indore,Digitally Strong & Balanced
Madhya Pradesh,Jabalpur,Digitally Strong & Balanced
Madhya Pradesh,Jhabua,Digitally Strong & Balanced
Madhya Pradesh,Katni,Digitally Strong & Balanced
Madhya Pradesh,Khandwa,Digitally Strong & Balanced
Madhya Pradesh,Khargone,Digitally Strong & Balanced
Madhya Pradesh,Maihar,Digitally Strong & Balanced
Madhya Pradesh,Mandla,Digitally Strong & Balanced
Madhya Pradesh,Mandsaur,Digitally Strong & Balanced
Madhya Pradesh,Mauganj,Digitally Underserved
Madhya Pradesh,Morena,Digitally Strong & Balanced
Madhya Pradesh,Narmadapuram,Digitally Strong & Balanced
Madhya Pradesh,Narsimhapur,Digitally Strong & Balanced
Madhya Pradesh,Narsinghpur,Digitally Strong & Balanced
Madhya Pradesh,Neemuch,Digitally Strong & Balanced
Madhya Pradesh,Niwari,Digitally Strong & Balanced
Madhya Pradesh,Pandhurna,Digitally Strong & Balanced
Madhya Pradesh,Panna,Digitally Strong & Balanced
Madhya Pradesh,Raisen,Digitally Strong & Balanced
Madhya Pradesh,Rajgarh,Digitally Strong & Balanced
Madhya Pradesh,Ratlam,Digitally Strong & Balanced
Madhya Pradesh,Rewa,Digitally Strong & Balanced
Madhya Pradesh,Sagar,Digitally Strong & Balanced
Madhya Pradesh,Satna,Digitally Strong & Balanced
Madhya Pradesh,Sehore,Digitally Strong & Balanced
Madhya Pradesh,Seoni,Digitally Strong & Balanced
Madhya Pradesh,Shahdol,Digitally Strong & Balanced
Madhya Pradesh,Shajapur,Digitally Strong & Balanced
Madhya Pradesh,Sheopur,Digitally Strong & Balanced
Madhya Pradesh,Shivpuri,Digitally Strong but Overburdened
Madhya Pradesh,Sidhi,Digitally Strong & Balanced
Madhya Pradesh,Singrauli,Digitally Strong & Balanced
Madhya Pradesh,Tikamgarh,Digitally Strong & Balanced
Madhya Pradesh,Ujjain,Digitally Strong & Balanced
Madhya Pradesh,Umaria,Digitally Strong & Balanced
Madhya Pradesh,Vidisha,Digitally Strong & Balanced
Madhya Pradesh,West Nimar,Digitally Strong & Balanced
Maharashtra,Ahilyanagar,Digitally Weak but Stable
Maharashtra,Ahmadnagar,Digitally Strong but Overburdened
Maharashtra,Ahmed Nagar,Digitally Strong & Balanced
Maharashtra,Akola,Digitally Strong & Balanced
Maharashtra,Amravati,Digitally Strong & Balanced
Maharashtra,Aurangabad,Digitally Strong & Balanced
Maharashtra,Beed,Digitally Strong & Balanced
Maharashtra,Bhandara,Digitally Strong & Balanced
Maharashtra,Bid,Digitally Underserved
Maharashtra,Buldana,Digitally Underserved
Maharashtra,Buldhana,Digitally Strong & Balanced
Maharashtra,Chandrapur,Digitally Strong & Balanced
Maharashtra,Chatrapati Sambhaji Nagar,Digitally Strong & Balanced
Maharashtra,Chhatrapati Sambhajinagar,Digitally Strong & Balanced
Maharashtra,Dharashiv,Digitally Strong & Balanced
Maharashtra,Dhule,Digitally Strong & Balanced
